experiment,mode,control,paired_end,genome,strand_specific,moeity,ip_type,sample_name,read_length,GSM,Group,Species,Cell,Genotype,Other,Condition,Replicate,ControlType,Shearing_method,SRX,mode_group,clean_name,corr_min,corr_max,corr_median,corr_mean,corr_sd,corr_skewness,corr_kurtosis,corr_method,rlfs_min,rlfs_max,rlfs_median,rlfs_mean,rlfs_sd,rlfs_skewness,rlfs_kurtosis,rlfs_method,rlfs_pval,3UTR__Number of peaks,3UTR__Total size (bp),3UTR__Log2 Ratio (obs/exp),3UTR__LogP enrichment (+values depleted),Retroposon__Number of peaks,Retroposon__Total size (bp),Retroposon__Log2 Ratio (obs/exp),Retroposon__LogP enrichment (+values depleted),RNA__Number of peaks,RNA__Total size (bp),RNA__Log2 Ratio (obs/exp),RNA__LogP enrichment (+values depleted),miRNA__Number of peaks,miRNA__Total size (bp),miRNA__Log2 Ratio (obs/exp),miRNA__LogP enrichment (+values depleted),ncRNA__Number of peaks,ncRNA__Total size (bp),ncRNA__Log2 Ratio (obs/exp),ncRNA__LogP enrichment (+values depleted),TTS__Number of peaks,TTS__Total size (bp),TTS__Log2 Ratio (obs/exp),TTS__LogP enrichment (+values depleted),LINE__Number of peaks,LINE__Total size (bp),LINE__Log2 Ratio (obs/exp),LINE__LogP enrichment (+values depleted),srpRNA__Number of peaks,srpRNA__Total size (bp),srpRNA__Log2 Ratio (obs/exp),srpRNA__LogP enrichment (+values depleted),SINE__Number of peaks,SINE__Total size (bp),SINE__Log2 Ratio (obs/exp),SINE__LogP enrichment (+values depleted),RC__Number of peaks,RC__Total size (bp),RC__Log2 Ratio (obs/exp),RC__LogP enrichment (+values depleted),tRNA__Number of peaks,tRNA__Total size (bp),tRNA__Log2 Ratio (obs/exp),tRNA__LogP enrichment (+values depleted),pseudo__Number of peaks,pseudo__Total size (bp),pseudo__Log2 Ratio (obs/exp),pseudo__LogP enrichment (+values depleted),DNA__Number of peaks,DNA__Total size (bp),DNA__Log2 Ratio (obs/exp),DNA__LogP enrichment (+values depleted),Exon__Number of peaks,Exon__Total size (bp),Exon__Log2 Ratio (obs/exp),Exon__LogP enrichment (+values depleted),Intron__Number of peaks,Intron__Total size (bp),Intron__Log2 Ratio (obs/exp),Intron__LogP enrichment (+values depleted),Intergenic__Number of peaks,Intergenic__Total size (bp),Intergenic__Log2 Ratio (obs/exp),Intergenic__LogP enrichment (+values depleted),Promoter__Number of peaks,Promoter__Total size (bp),Promoter__Log2 Ratio (obs/exp),Promoter__LogP enrichment (+values depleted),5UTR__Number of peaks,5UTR__Total size (bp),5UTR__Log2 Ratio (obs/exp),5UTR__LogP enrichment (+values depleted),snoRNA__Number of peaks,snoRNA__Total size (bp),snoRNA__Log2 Ratio (obs/exp),snoRNA__LogP enrichment (+values depleted),scRNA__Number of peaks,scRNA__Total size (bp),scRNA__Log2 Ratio (obs/exp),scRNA__LogP enrichment (+values depleted),CpG-Island__Number of peaks,CpG-Island__Total size (bp),CpG-Island__Log2 Ratio (obs/exp),CpG-Island__LogP enrichment (+values depleted),Low_complexity__Number of peaks,Low_complexity__Total size (bp),Low_complexity__Log2 Ratio (obs/exp),Low_complexity__LogP enrichment (+values depleted),LTR__Number of peaks,LTR__Total size (bp),LTR__Log2 Ratio (obs/exp),LTR__LogP enrichment (+values depleted),Simple_repeat__Number of peaks,Simple_repeat__Total size (bp),Simple_repeat__Log2 Ratio (obs/exp),Simple_repeat__LogP enrichment (+values depleted),snRNA__Number of peaks,snRNA__Total size (bp),snRNA__Log2 Ratio (obs/exp),snRNA__LogP enrichment (+values depleted),Unknown__Number of peaks,Unknown__Total size (bp),Unknown__Log2 Ratio (obs/exp),Unknown__LogP enrichment (+values depleted),Satellite__Number of peaks,Satellite__Total size (bp),Satellite__Log2 Ratio (obs/exp),Satellite__LogP enrichment (+values depleted),rRNA__Number of peaks,rRNA__Total size (bp),rRNA__Log2 Ratio (obs/exp),rRNA__LogP enrichment (+values depleted),Other__Number of peaks,Other__Total size (bp),Other__Log2 Ratio (obs/exp),Other__LogP enrichment (+values depleted),ARTEFACT__Number of peaks,ARTEFACT__Total size (bp),ARTEFACT__Log2 Ratio (obs/exp),ARTEFACT__LogP enrichment (+values depleted),miscRNA__Number of peaks,miscRNA__Total size (bp),miscRNA__Log2 Ratio (obs/exp),miscRNA__LogP enrichment (+values depleted),MACS2__Distinct Peak Count,EPIC2__Distinct Peak Count,MACS2__Overlapping Peak Count,EPIC2__Overlapping Peak Count,MACS2__Percentage Peaks Overlapping,EPIC2__Percentage Peaks Overlapping,MACS2__total_peaks,EPIC2__total_peaks,reads_before,reads_after,percent_passing,gc_content,read_length_after_filter,reads_aligned,pct_aligned,duplicate_reads,pct_duplicated
SRR5379788,R-ChIP,NA,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675020_HKE293-Post-DRB-V5ChIP-Rep1,40,GSM2551014,Fu,HS,HEK293T,D210N,post-DRB,D210N,1,None,SON,SRX2675020,R-ChIP,R-ChIP_HEK293T_Fu_D210N_SRX2675020,0.163278502493609,1,0.811509823496248,0.753952670337149,0.168405131040752,-2.64909620031903,11.0036823139994,unbiased,-5000,5000,0,-59.6155431852291,1127.90430062772,-0.292266929959558,9.2307967776172,unbiased,2.699837725867246,        9.000, 26942094.000,       -2.505,       28.466,        1.000,  4101361.000,       -2.960,        5.611,        0.000,   108322.000,       -0.270,        0.205,        0.000,    97618.000,       -0.245,        0.185,       27.000,  7137257.000,        0.996,       -7.127,       87.000, 32801915.000,        0.484,       -6.418,      389.000,635385572.000,       -1.631,      447.320,        0.000,   262923.000,       -0.584,        0.499,       11.000,380975653.000,       -6.038,      714.720,        0.000,   363157.000,       -0.756,        0.689,       36.000,    95915.000,        7.628,     -157.350,        1.000,  2150263.000,       -2.028,        2.455,        4.000, 99636877.000,       -5.562,      174.164,      213.000, 37456905.000,        1.584,      -96.841,      401.000,657559198.000,       -1.637,      467.797,      366.000,784268959.000,       -2.023,      744.386,     3516.000, 36426850.000,        5.669,   -11694.434,      197.000,  2621950.000,        5.308,     -539.443,        0.000,      357.000,       -0.001,        0.001,        0.000,   122556.000,       -0.302,        0.232,      450.000,  9066489.000,        4.710,    -1056.479,       12.000,  5502600.000,        0.201,       -1.039,       61.000,263246336.000,       -3.033,      330.336,       79.000, 35160170.000,        0.244,       -2.579,        5.000,   316414.000,        3.058,       -7.838,        0.000,   714426.000,       -1.236,        1.355,       15.000, 75983040.000,       -3.264,       98.804,        0.000,   219202.000,       -0.502,        0.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  148.0,22651.0, 5882.0, 5819.0,   97.5,   20.4, 6030.0,28470.0,15372578,15118428,98.3,0.4287,40,11897525,78.69551649152942,4395699,29.075106221361107
SRR5379789,R-ChIP,NA,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675021_HKE293-Post-DRB-V5ChIP-Rep2,40,GSM2551015,Fu,HS,HEK293T,D210N,post-DRB,D210N,2,None,SON,SRX2675021,R-ChIP,R-ChIP_HEK293T_Fu_D210N_SRX2675021,0.142489608298376,1,0.787361667900148,0.73776772992016,0.167697989493367,-2.54906670137108,10.7005737384856,unbiased,-5000,5000,0,1.19981478020836,951.808408674061,-0.0291880493044875,10.8951247220198,unbiased,2.699837725867246,        6.000, 26892159.000,       -2.513,       19.537,        0.000,  4082931.000,       -2.634,        5.202,        0.000,   108078.000,       -0.186,        0.138,        0.000,    97618.000,       -0.169,        0.124,       12.000,  7090406.000,        0.411,       -1.612,       64.000, 32612845.000,        0.624,       -7.300,      153.000,628793503.000,       -2.388,      461.516,        0.000,   262133.000,       -0.416,        0.334,        6.000,378342837.000,       -6.327,      483.113,        0.000,   359856.000,       -0.544,        0.458,       33.000,    95288.000,        8.087,     -154.915,        3.000,  2121737.000,        0.151,       -0.680,        2.000, 99185563.000,       -5.981,      119.324,      147.000, 37346242.000,        1.628,      -70.787,      199.000,655557382.000,       -2.068,      415.947,      216.000,745948428.000,       -2.137,      502.452,     2532.000, 36245122.000,        5.778,    -8738.132,      147.000,  2612444.000,        5.466,     -419.324,        0.000,      357.000,       -0.001,        0.000,        0.000,   122325.000,       -0.209,        0.156,      274.000,  8996332.000,        4.580,     -620.121,        5.000,  5420155.000,       -0.465,        1.161,       24.000,258640582.000,       -3.778,      257.677,       39.000, 34229285.000,       -0.160,        1.302,        4.000,   313948.000,        3.323,       -7.165,        0.000,   713653.000,       -0.933,        0.909,        8.000, 74655855.000,       -3.571,       70.131,        0.000,   215961.000,       -0.350,        0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  120.0,16251.0, 3875.0, 3846.0,   97.0,   19.1, 3995.0,20097.0,12470716,12246508,98.2,0.424974,40,9645805,78.76371778796045,4128033,33.70783736882383
SRR7171510,R-ChIP,SRR5379782,FALSE,hg38,TRUE,RNA,RNaseH1,SRX4089416_K562-WKKD-V5chip,40,GSM3143441,Fu,HS,K562,WKKD,NT,WKKD,0,Input,SON,SRX4089416,R-ChIP,R-ChIP_K562_Fu_WKKD_SRX4089416,0.12085249693786,0.532598082162802,0.397899182237577,0.385074394981971,0.0799671209022957,-1.76390088701541,7.79324668297517,unbiased,-5000,5000,450,602.534803519769,2154.69916271513,-0.0530944566461058,2.66234044026623,unbiased,2.699837725867246,        0.000, 20710487.000,       -0.470,        0.383,        0.000,  3236678.000,       -0.084,        0.060,        0.000,    87882.000,       -0.002,        0.002,        0.000,    74700.000,       -0.002,        0.001,        0.000,  5393356.000,       -0.137,        0.099,        3.000, 24963257.000,        2.706,       -4.512,        5.000,516813761.000,       -0.929,        2.755,        0.000,   198043.000,       -0.005,        0.004,        0.000,293486346.000,       -2.840,        5.766,        0.000,   285582.000,       -0.008,        0.005,        0.000,    76515.000,       -0.002,        0.001,        0.000,  1490255.000,       -0.039,        0.027,        0.000, 79495978.000,       -1.330,        1.489,        2.000, 28891556.000,        1.910,       -2.311,       10.000,523037902.000,        0.054,       -0.683,        6.000,558520823.000,       -0.778,        2.484,       10.000, 27657370.000,        4.295,      -23.316,        2.000,  2025348.000,        5.745,       -7.318,        0.000,      240.000,        0.000,        0.000,        0.000,    93975.000,       -0.002,        0.002,        2.000,  6744154.000,        4.009,       -4.967,        0.000,  4314318.000,       -0.110,        0.080,        1.000,210954991.000,       -1.958,        2.407,        3.000, 26891103.000,        2.599,       -4.313,        0.000,   244849.000,       -0.006,        0.005,        0.000,   577833.000,       -0.015,        0.011,        0.000, 51583685.000,       -0.979,        0.960,        0.000,   159777.000,       -0.004,        0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   4.0,8910.0,  44.0,  44.0,  91.7,   0.5,  48.0,8954.0,23659263,23249330,98.3,0.422883,40,18180803,78.19925563446346,6339051,27.265521199965765
SRR7358079,DRIP,NA,TRUE,hg38,FALSE,DNA,S9.6,SRX4231163_Control_DRIP-seq_1,150,GSM3196007,Capranico,HS,U2OS,WT,NT,S9.6,1,None,RES,SRX4231163,DRIP,DRIP_U2OS_Capranico_S9.6_SRX4231163,-0.0721548822941314,1,0.569107123580388,0.545367156468065,0.236397738132181,-0.954003851083146,3.42150522175763,unbiased,-5000,5000,0,18.149528400116,2005.75959948912,0.0147014462512443,2.41523077317059,unbiased,2.699837725867246,      544.000, 26854963.000,        1.977,     -348.773,       43.000,  4082992.000,        1.034,      -10.996,        0.000,   108000.000,       -0.637,        0.556,        1.000,    98949.000,        0.974,       -0.919,       91.000,  7055748.000,        1.326,      -31.707,      714.000, 32501356.000,        2.094,     -503.219,     2012.000,634417625.000,       -0.698,      342.218,        2.000,   262999.000,        0.564,       -0.937,     2365.000,380523534.000,        0.273,      -48.826,        1.000,   362795.000,       -0.900,        0.813,        0.000,    91940.000,       -0.559,        0.473,       25.000,  2153973.000,        1.174,       -8.422,      313.000, 99547084.000,       -0.710,       49.159,      790.000, 37177159.000,        2.046,     -537.303,     4786.000,656933686.000,        0.502,     -344.758,     1393.000,783065661.000,       -1.532,     1432.822,     1404.000, 36051867.000,        2.920,    -1676.227,      100.000,  2604540.000,        2.900,     -117.711,        0.000,      357.000,       -0.003,        0.002,        2.000,   122053.000,        1.671,       -2.031,      328.000,  9087351.000,        2.811,     -363.919,       34.000,  5501284.000,        0.265,       -1.812,      589.000,262811310.000,       -1.199,      296.803,      212.000, 35268561.000,        0.225,       -4.273,        1.000,   314667.000,       -0.695,        0.656,        0.000,   714829.000,       -2.226,        3.678,      171.000, 76339121.000,       -1.200,       84.052,        4.000,   233139.000,        1.738,       -3.390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  867.0,11659.0, 5031.0, 4281.0,   85.3,   26.9, 5898.0,15940.0,118242392,106085788,89.7,148,148,86793975,81.81489399880783,46420727,43.757724644511285
SRR7358080,DRIP,NA,TRUE,hg38,FALSE,DNA,S9.6,SRX4231164_Control_DRIP-seq_2,150,GSM3196008,Capranico,HS,U2OS,WT,NT,S9.6,2,None,RES,SRX4231164,DRIP,DRIP_U2OS_Capranico_S9.6_SRX4231164,-0.0996812781401081,1,0.571289127505818,0.541820688894993,0.235191644233564,-0.982976117568791,3.62559334800776,unbiased,-5000,5000,0,-19.4738378075484,1909.77373181151,-0.00052684035538245,2.52616989060074,unbiased,2.699837725867246,      536.000, 27007130.000,        1.604,     -243.227,      105.000,  4120805.000,        1.965,      -68.004,        0.000,   108381.000,       -0.772,        0.707,        4.000,   101912.000,        2.588,       -5.335,      112.000,  7147505.000,        1.263,      -35.593,      775.000, 33060688.000,        1.845,     -443.415,     2511.000,637183493.000,       -0.728,      466.279,        2.000,   263433.000,        0.218,       -0.668,     3343.000,383115880.000,        0.419,     -152.031,        0.000,   363887.000,       -1.755,        2.375,        1.000,    96115.000,        0.673,       -0.764,       33.000,  2222809.000,        1.186,      -10.762,      433.000, 99946341.000,       -0.591,       46.000,      901.000, 37690835.000,        1.873,     -529.398,     6213.000,659909704.000,        0.528,     -492.588,     1708.000,787564364.000,       -1.590,     1916.717,     1745.000, 36710889.000,        2.864,    -2021.580,      137.000,  2630701.000,        2.996,     -168.283,        0.000,      357.000,       -0.003,        0.002,        2.000,   123658.000,        1.309,       -1.641,      449.000,  9190526.000,        2.904,     -522.342,       34.000,  5543197.000,       -0.090,        0.917,      878.000,264197681.000,       -0.974,      276.406,      260.000, 35461847.000,        0.168,       -3.389,        3.000,   317639.000,        0.533,       -1.070,        4.000,   715711.000,       -0.224,        0.693,      129.000, 76730676.000,       -1.957,      203.380,        2.000,   233806.000,        0.390,       -0.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1785.0, 9948.0,13424.0,10387.0,   88.3,   51.1,15209.0,20335.0,93772404,90606824,96.6,148,148,72822594,80.37208544027544,11259795,12.427093791522811
SRR7358081,DRIP,NA,TRUE,hg38,FALSE,DNA,S9.6,SRX4231165_FG_DRIP-seq_1,150,GSM3196009,Capranico,HS,U2OS,WT,FG,S9.6,1,None,RES,SRX4231165,DRIP,DRIP_U2OS_Capranico_S9.6_SRX4231165,-0.100277681768666,1,0.592365150884264,0.552742264145527,0.242810884887164,-1.01122638439713,3.57699363902572,unbiased,-5000,5000,0,15.2894456122407,1898.08729962462,0.0103496854113983,2.5824823974534,unbiased,2.699837725867246,      668.000, 26950520.000,        1.790,     -362.810,      155.000,  4105632.000,        2.397,     -135.511,        1.000,   108283.000,        0.365,       -0.616,        3.000,    98949.000,        2.080,       -3.344,      130.000,  7122384.000,        1.348,      -45.545,      819.000, 32837599.000,        1.799,     -449.181,     3020.000,636056213.000,       -0.595,      364.681,        2.000,   263341.000,        0.083,       -0.575,     3626.000,382237520.000,        0.404,     -153.804,        2.000,   363220.000,       -0.381,        0.659,        0.000,    95185.000,       -0.751,        0.682,       42.000,  2188039.000,        1.421,      -17.408,      489.000, 99821176.000,       -0.549,       44.504,      931.000, 37510336.000,        1.792,     -508.106,     7088.000,658867482.000,        0.585,     -683.385,     1774.000,784454890.000,       -1.665,     2222.143,     1484.000, 36455713.000,        2.505,    -1393.398,      123.000,  2619033.000,        2.712,     -130.365,        0.000,      357.000,       -0.004,        0.003,        2.000,   123041.000,        1.181,       -1.510,      436.000,  9158992.000,        2.731,     -461.938,       35.000,  5523855.000,       -0.178,        1.340,     1006.000,263665612.000,       -0.910,      272.348,      282.000, 35365224.000,        0.153,       -3.206,        4.000,   316367.000,        0.818,       -1.639,        1.000,   715601.000,       -2.359,        3.318,      136.000, 76488541.000,       -2.012,      229.743,        1.000,   233474.000,       -0.743,        0.690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1961.0,10181.0,15236.0,12095.0,   88.6,   54.3,17197.0,22276.0,98750558,93634288,94.8,148,148,75633527,80.77546016049163,12137338,12.96249297052379
SRR7358082,DRIP,NA,TRUE,hg38,FALSE,DNA,S9.6,SRX4231166_FG_DRIP-seq_2,150,GSM3196010,Capranico,HS,U2OS,WT,FG,S9.6,2,None,RES,SRX4231166,DRIP,DRIP_U2OS_Capranico_S9.6_SRX4231166,-0.0832451505295807,1,0.606393130651439,0.574304331793292,0.252766633972831,-1.00943572818832,3.43151582100789,unbiased,-5000,5000,0,28.245269441376,1806.31559701852,0.0510628511219626,2.80390242996414,unbiased,2.699837725867246,     1026.000, 27314483.000,        1.645,     -482.369,      200.000,  4166931.000,        1.998,     -130.672,        0.000,   109523.000,       -1.211,        1.316,        4.000,   101922.000,        1.708,       -3.327,      176.000,  7273473.000,        1.010,      -37.558,     1194.000, 33715300.000,        1.560,     -514.366,     5157.000,640819455.000,       -0.578,      584.113,        7.000,   267103.000,        1.125,       -3.098,     6796.000,386187425.000,        0.551,     -514.177,        2.000,   365291.000,       -1.134,        1.679,        0.000,   101508.000,       -1.150,        1.219,       57.000,  2317423.000,        1.034,      -13.999,      917.000,100471308.000,       -0.396,       42.081,     1518.000, 38340970.000,        1.721,     -772.442,    12240.000,664229204.000,        0.617,    -1302.829,     2653.000,791170232.000,       -1.841,     4243.975,     2175.000, 37463577.000,        2.273,    -1746.798,      184.000,  2671889.000,        2.519,     -173.037,        0.000,      357.000,       -0.006,        0.004,        4.000,   125377.000,        1.409,       -2.712,      680.000,  9310663.000,        2.604,     -667.543,       74.000,  5578819.000,        0.143,       -1.552,     1994.000,265816095.000,       -0.679,      284.651,      413.000, 35642665.000,       -0.052,        1.430,        4.000,   321180.000,        0.052,       -0.619,        2.000,   716697.000,       -2.106,        4.767,      148.000, 76810172.000,       -2.640,      515.204,        3.000,   234516.000,        0.091,       -0.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1397.0,18754.0,23275.0,18894.0,   94.3,   50.2,24672.0,37648.0,83431858,79872320,95.7,148,148,65179589,81.60472739492229,8279760,10.366244526263916
SRR7358083,DRIP,NA,TRUE,hg38,FALSE,DNA,S9.6,SRX4231167_PDS_DRIP-seq_1,150,GSM3196011,Capranico,HS,U2OS,WT,PDS,S9.6,1,None,RES,SRX4231167,DRIP,DRIP_U2OS_Capranico_S9.6_SRX4231167,-0.0891138598694498,1,0.601150425076208,0.568176590519776,0.248261047271553,-1.07212172398244,3.57474773455126,unbiased,-5000,5000,0,3.2502086047506,1824.47310496527,0.0128085876174401,2.71451287000671,unbiased,2.699837725867246,      750.000, 27076405.000,        1.624,     -346.040,      189.000,  4125080.000,        2.350,     -159.664,        0.000,   108322.000,       -0.981,        0.974,        3.000,    98949.000,        1.754,       -2.795,      129.000,  7179425.000,        1.000,      -27.639,      982.000, 33117377.000,        1.722,     -500.406,     4089.000,638135508.000,       -0.488,      326.043,        4.000,   265577.000,        0.745,       -1.521,     4296.000,383472947.000,        0.318,     -115.474,        3.000,   363942.000,       -0.125,        0.533,        0.000,    97617.000,       -0.909,        0.877,       46.000,  2252656.000,        1.184,      -14.293,      584.000,100080247.000,       -0.623,       68.124,     1193.000, 37737362.000,        1.815,     -664.123,     9241.000,661109427.000,        0.637,    -1046.772,     2140.000,786656967.000,       -1.724,     2916.556,     1727.000, 36753972.000,        2.386,    -1500.227,      157.000,  2630740.000,        2.731,     -167.476,        0.000,      357.000,       -0.005,        0.003,        3.000,   123949.000,        1.429,       -2.279,      552.000,  9193815.000,        2.740,     -586.875,       44.000,  5539792.000,       -0.178,        1.471,     1380.000,264510671.000,       -0.785,      269.542,      331.000, 35444852.000,        0.055,       -1.392,        0.000,   318117.000,       -1.948,        2.859,        2.000,   715957.000,       -1.686,        3.098,      147.000, 76497040.000,       -2.226,      322.212,        1.000,   233765.000,       -1.071,        0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 3001.0,10002.0,21581.0,18008.0,   87.8,   64.3,24582.0,28010.0,101788016,97578986,95.9,148,148,78262519,80.2042757443698,15668748,16.05750238068676
SRR7358084,DRIP,NA,TRUE,hg38,FALSE,DNA,S9.6,SRX4231168_PDS_DRIP-seq_2,150,GSM3196012,Capranico,HS,U2OS,WT,PDS,S9.6,2,None,RES,SRX4231168,DRIP,DRIP_U2OS_Capranico_S9.6_SRX4231168,-0.0595593803422832,1,0.6243252743285,0.5625945746585,0.24240163903457,-1.05983559744456,3.45990622452134,unbiased,-5000,5000,0,-12.428298279166,1776.64989641061,0.0286637040788435,2.74631631379121,unbiased,2.699837725867246,     1181.000, 27250327.000,        1.802,     -645.975,      101.000,  4148768.000,        0.970,      -21.017,        2.000,   109181.000,        0.559,       -0.933,        3.000,    98959.000,        1.286,       -2.063,      168.000,  7240109.000,        0.900,      -29.658,     1227.000, 33447978.000,        1.561,     -529.197,     5413.000,640079482.000,       -0.556,      564.846,        6.000,   267284.000,        0.853,       -2.121,     6493.000,385402183.000,        0.438,     -318.900,        6.000,   364263.000,        0.406,       -1.198,        0.000,    99773.000,       -1.164,        1.240,       51.000,  2295533.000,        0.838,       -9.270,     1064.000,100394405.000,       -0.230,       17.279,     1515.000, 38069434.000,        1.679,     -739.429,    13906.000,663302760.000,        0.754,    -2170.375,     2516.000,789320554.000,       -1.964,     4724.623,     1924.000, 37146021.000,        2.059,    -1316.025,      164.000,  2658903.000,        2.311,     -135.198,        0.000,      357.000,       -0.006,        0.004,        2.000,   124768.000,        0.367,       -0.778,      511.000,  9263359.000,        2.150,     -371.379,       45.000,  5566714.000,       -0.621,        6.680,     2037.000,265353341.000,       -0.696,      305.726,      398.000, 35591548.000,       -0.153,        4.100,        4.000,   320048.000,        0.008,       -0.576,        5.000,   716714.000,       -0.834,        2.110,      122.000, 76791481.000,       -2.968,      593.927,        3.000,   234316.000,        0.042,       -0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1034.0,23566.0,20063.0,15323.0,   95.1,   39.4,21097.0,38889.0,85120104,81837480,96.1,148,148,68885401,84.17341418626282,8085671,9.8801563782267
SRR10168931,DRIP,NA,TRUE,hg38,FALSE,DNA,S9.6,SRX6893683_Control_DRIP-seq_and_RnaseH,150,GSM4093607,Capranico,HS,U2OS,WT,RNaseH,RNH,0,None,RES,SRX6893683,DRIP,DRIP_U2OS_Capranico_RNH_SRX6893683,-0.0234802282231551,0.318647894270521,0.0866354257898764,0.0929180327621,0.0527774571696764,1.70179222013606,8.05047768661287,unbiased,-5000,5000,1000,266.137077406244,3524.04589027352,-0.133144984448749,1.39497852212303,unbiased,0.3196264841556397,       72.000, 25778692.000,        0.340,       -3.536,        3.000,  3861741.000,       -1.506,        3.519,        0.000,   103533.000,       -0.297,        0.228,        0.000,    95811.000,       -0.277,        0.211,       26.000,  6861877.000,        0.780,       -4.984,       79.000, 31160908.000,        0.200,       -2.121,     1221.000,583040065.000,       -0.075,        3.855,        1.000,   252825.000,        0.842,       -0.850,     1030.000,364311578.000,        0.358,      -36.708,        3.000,   350106.000,        1.957,       -3.134,        1.000,    87968.000,        2.365,       -1.735,        6.000,  2057437.000,        0.402,       -1.191,      229.000, 94640439.000,        0.133,       -2.472,       81.000, 35722689.000,        0.039,       -0.874,     1417.000,632760090.000,        0.021,       -1.318,     1379.000,750627202.000,       -0.264,       35.288,       58.000, 34528977.000,       -0.393,        4.037,        5.000,  2486846.000,       -0.134,        0.633,        0.000,      344.000,       -0.001,        0.001,        1.000,   115966.000,        1.967,       -1.488,       28.000,  8690667.000,        0.546,       -3.376,       15.000,  5243954.000,        0.375,       -1.659,      540.000,245820461.000,       -0.006,        0.756,      105.000, 33383485.000,        0.512,       -8.065,        2.000,   299312.000,        1.599,       -1.951,        2.000,   685565.000,        0.403,       -0.807,      172.000, 71852456.000,        0.118,       -1.906,        0.000,   224872.000,       -0.581,        0.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 187.0,6298.0, 200.0, 190.0,  51.7,   2.9, 387.0,6488.0,145105168,140326126,96.7,149,149,126229457,89.95435176483102,34092215,24.294987663238135
