#'chr'	'start'	'end'	'SRX1070676_NT2_DRIPc-seq_rep_1.hg38.bw'	'SRX1070677_NT2_DRIPc-seq_rep_2.hg38.bw'	'SRX1070678_NT2_DRIP-seq_1.hg38.bw'	'SRX1070679_NT2_DRIP-seq_2.hg38.bw'	'SRX1070680_NT2_DRIP-seq_RNaseA.hg38.bw'	'SRX1070681_NT2_DRIP-seq_RNaseH.hg38.bw'	'SRX255721_NT2_DRIP-seq_1.hg38.bw'	'SRX255723_NT2_DRIP-seq_2_rep_1.hg38.bw'	'SRX255724_NT2_DRIP-seq_2_rep_2.hg38.bw'
chr4	6694000	6695000	0.63	0.12	1.59	1.56	1.29	0.34	0.26	0.72	0.15
chr4	6695000	6696000	0.4	0.48	1.44	0.86	2.11	0.33	0.5	0.57	0.32
chr4	6696000	6697000	0.5	0.42	1.48	1.39	2.09	0.33	0.44	0.44	0.5
chr4	6697000	6698000	0.43	0.29	0.25	0.43	0.62	0.1	0.05	0.15	0.2
chr4	6698000	6699000	0.7	0.18	1.55	0.99	1.82	0.43	0.25	0.2	0.11
chr4	6699000	6700000	1.16	0.77	2.4	1.46	4.11	0.77	0.43	0.41	0.42
chr4	6700000	6701000	1.91	1.91	1.59	2.16	2.19	0.33	0.32	0.41	0.3
chr4	6701000	6702000	1.24	0.71	1.14	1.55	3.63	0.33	0.37	0.11	0.2
chr4	6702000	6703000	1.71	1.0	2.98	2.92	2.83	0.44	0.36	0.27	0.31
chr4	6703000	6704000	1.11	0.72	2.01	2.03	4.58	0.96	0.4	0.22	0.14
chr4	6704000	6705000	1.14	0.76	1.36	0.85	1.32	0.66	0.25	0.29	0.39
chr4	6705000	6706000	0.7	0.88	0.62	0.34	0.94	0.22	0.11	0.12	0.05
chr4	6706000	6707000	0.94	1.33	8.4	4.26	8.48	0.63	0.36	0.54	0.42
chr4	6707000	6708000	7.38	5.31	12.04	4.37	23.12	1.51	1.62	1.13	0.59
chr4	6708000	6709000	10.02	8.61	14.85	9.32	30.09	1.99	2.35	0.74	1.0
chr4	6709000	6710000	2.89	3.09	10.55	7.08	15.47	1.81	1.38	1.58	1.18
chr4	6710000	6711000	0.11	0.0	0.69	0.06	0.79	0.22	0.11	0.48	0.27
chr4	6711000	6712000	0.06	0.06	0.3	0.24	0.76	0.0	0.15	0.36	0.45
chr4	6712000	6713000	0.06	0.06	0.45	0.05	0.56	0.2	0.28	0.53	0.73
chr4	6713000	6714000	0.06	0.12	0.64	0.31	0.22	0.0	0.2	0.15	0.19
chr4	6714000	6715000	0.06	0.18	0.88	0.29	0.42	0.11	0.13	0.46	0.2
chr4	6715000	6716000	0.18	0.17	1.22	0.25	0.67	0.21	0.37	0.32	0.06
chr4	6716000	6717000	0.23	0.36	3.65	3.24	2.74	0.11	0.59	0.63	0.34
chr4	6717000	6718000	0.11	0.06	1.26	0.23	2.52	0.54	0.28	0.4	0.56
chr4	6718000	6719000	0.02	0.0	0.56	0.29	0.95	0.72	0.41	0.42	0.46
chr4	6719000	6720000	0.03	0.12	1.3	0.24	0.7	0.59	0.46	0.67	0.53
chr4	6720000	6721000	0.0	0.06	0.71	0.18	0.55	0.21	0.15	0.3	0.2
chr4	6721000	6722000	0.06	0.0	0.18	0.36	0.32	0.44	0.45	0.41	0.15
chr4	6722000	6723000	0.0	0.0	0.56	0.24	0.8	0.61	0.82	0.65	0.32
chr4	6723000	6724000	0.29	0.0	0.58	0.42	1.1	0.73	0.84	0.94	0.47
chr4	6724000	6725000	0.0	0.0	0.54	0.3	0.84	0.53	0.7	0.8	0.55
chr4	6725000	6726000	0.05	0.0	0.63	0.41	0.77	0.44	0.31	0.54	0.63
chr4	6726000	6727000	0.0	0.0	0.5	0.0	0.64	0.63	0.35	0.57	0.33
chr4	6727000	6728000	0.06	0.06	0.34	0.0	0.44	0.28	0.34	0.28	0.31
chr4	6728000	6729000	0.12	0.11	0.74	0.3	0.54	0.52	0.33	0.33	0.27
chr4	6729000	6730000	0.06	0.0	0.36	0.06	0.48	0.45	0.67	0.47	0.43
chr4	6730000	6731000	0.0	0.0	0.5	0.06	0.29	0.43	0.38	0.35	0.16
chr4	6731000	6732000	0.12	0.18	0.95	0.35	0.62	0.33	0.3	0.19	0.4
chr4	6732000	6733000	0.0	0.04	0.55	0.12	0.59	0.58	0.35	0.19	0.15
chr4	6733000	6734000	0.0	0.08	0.89	0.18	0.44	0.62	0.46	0.65	0.12
chr4	6734000	6735000	0.0	0.0	0.47	0.65	1.09	0.41	0.47	0.15	0.33
chr4	6735000	6736000	0.0	0.05	0.42	0.3	0.33	0.47	0.37	0.22	0.26
chr4	6736000	6737000	0.06	0.0	0.06	0.06	0.41	0.44	0.25	0.28	0.15
chr4	6737000	6738000	0.0	0.06	0.23	0.12	0.5	0.44	0.36	0.1	0.2
chr4	6738000	6739000	0.06	0.06	0.72	0.12	0.07	0.34	0.28	0.2	0.19
chr4	6739000	6740000	0.0	0.06	0.24	0.23	0.66	0.3	0.37	0.45	0.2
chr4	6740000	6741000	0.06	0.0	0.54	0.0	0.22	0.22	0.36	0.25	0.4
chr4	6741000	6742000	0.0	0.0	0.42	0.0	0.63	0.17	0.06	0.42	0.15
chr4	6742000	6743000	0.06	0.0	0.52	0.29	0.36	0.23	0.64	0.37	0.25
chr4	6743000	6744000	0.0	0.0	0.18	0.24	0.36	0.66	0.65	0.21	0.29
chr4	6744000	6745000	0.06	0.0	0.12	0.18	0.72	0.33	0.4	0.25	0.2
chr4	6745000	6746000	0.0	0.09	0.05	0.36	0.54	0.54	0.16	0.26	0.2
chr4	6746000	6747000	0.06	0.09	0.48	0.34	0.0	0.1	0.32	0.15	0.45
chr4	6747000	6748000	0.06	0.06	0.4	0.6	0.3	0.43	0.42	0.26	0.43
chr4	6748000	6749000	0.0	0.0	0.46	0.4	0.25	0.33	0.2	0.35	0.21
chr4	6749000	6750000	0.0	0.06	0.3	0.3	0.36	0.11	0.25	0.41	0.46
chr4	6750000	6751000	0.05	0.12	0.42	0.35	0.5	0.22	0.32	0.29	0.23
chr4	6751000	6752000	0.0	0.0	0.24	0.06	0.88	0.22	0.23	0.28	0.31
chr4	6752000	6753000	0.12	0.0	0.29	0.31	0.34	0.21	0.26	0.45	0.15
chr4	6753000	6754000	0.12	0.06	0.24	0.23	0.17	0.48	0.79	0.31	0.27
chr4	6754000	6755000	0.12	0.06	0.59	0.18	0.11	0.36	0.52	0.31	0.3
chr4	6755000	6756000	0.0	0.06	0.24	0.16	0.65	0.0	0.37	0.47	0.1
chr4	6756000	6757000	0.0	0.0	0.12	0.28	0.3	0.16	0.05	0.1	0.05
chr4	6757000	6758000	0.06	0.0	0.52	0.3	0.46	0.54	0.14	0.26	0.25
chr4	6758000	6758504	0.0	0.0	0.2777777777777778	0.11904761904761904	0.36507936507936506	0.1388888888888889	0.01984126984126984	0.3968253968253968	0.0
chr4	8563313	8564000	0.0	0.0	0.0	0.08733624454148471	0.2765647743813683	0.32023289665211063	0.2576419213973799	0.3056768558951965	0.16011644832605532
chr4	8564000	8565000	0.0	0.0	0.36	0.3	0.89	0.44	0.43	0.38	0.55
chr4	8565000	8566000	0.0	0.0	0.12	0.12	1.19	1.28	0.22	0.47	0.07
chr4	8566000	8567000	0.0	0.0	0.41	0.24	2.39	1.69	0.37	0.41	0.3
chr4	8567000	8568000	0.0	0.0	0.24	0.12	0.43	0.32	0.19	0.47	0.3
chr4	8568000	8569000	0.06	0.0	0.22	0.06	0.39	0.5	0.36	0.42	0.56
chr4	8569000	8570000	0.0	0.06	0.35	0.06	0.27	0.43	0.16	0.25	0.52
chr4	8570000	8571000	0.0	0.0	0.42	0.06	0.12	0.33	0.17	0.3	0.33
chr4	8571000	8572000	0.0	0.0	0.45	0.46	0.43	0.22	0.37	0.27	0.25
chr4	8572000	8573000	0.0	0.0	0.38	0.29	0.33	0.11	0.45	0.33	0.25
chr4	8573000	8574000	0.0	0.0	0.69	0.29	0.55	0.11	0.1	0.4	0.0
chr4	8574000	8575000	0.05	0.11	0.21	0.27	0.33	0.54	0.27	0.11	0.21
chr4	8575000	8576000	0.06	0.0	0.36	0.32	0.43	0.44	0.42	0.25	0.2
chr4	8576000	8577000	0.06	0.06	0.36	0.48	0.33	0.55	0.16	0.17	0.31
chr4	8577000	8578000	0.0	0.0	0.57	0.24	0.63	1.07	0.61	1.12	0.77
chr4	8578000	8579000	0.0	0.0	0.34	0.18	0.44	0.36	0.42	1.23	0.73
chr4	8579000	8580000	0.06	0.12	0.57	0.06	0.87	0.52	0.37	0.67	0.61
chr4	8580000	8581000	0.0	0.06	0.74	0.27	1.55	0.19	0.72	0.58	0.15
chr4	8581000	8582000	0.12	0.06	0.93	0.41	2.1	0.28	0.45	0.17	0.06
chr4	8582000	8583000	0.18	0.06	0.72	0.32	1.54	1.13	0.32	0.33	0.3
chr4	8583000	8584000	0.0	0.0	0.36	0.54	2.02	0.14	0.31	0.22	0.08
chr4	8584000	8585000	0.0	0.06	0.3	0.18	0.98	0.21	0.4	0.14	0.17
chr4	8585000	8586000	0.12	0.06	0.99	0.48	2.3	0.64	0.76	0.42	0.36
chr4	8586000	8587000	0.12	0.18	0.67	0.58	1.52	0.15	0.87	0.2	0.19
chr4	8587000	8588000	0.0	0.0	0.24	0.24	2.06	0.4	0.49	0.2	0.12
chr4	8588000	8589000	0.0	0.0	0.71	0.29	1.96	0.37	0.71	0.31	0.33
chr4	8589000	8590000	0.06	0.0	0.24	0.72	0.64	1.13	0.72	0.36	0.26
chr4	8590000	8591000	0.0	0.0	0.93	0.76	5.58	0.31	1.49	0.75	0.21
chr4	8591000	8592000	0.06	0.06	0.67	0.38	7.02	0.66	2.32	0.17	0.3
chr4	8592000	8593000	0.06	0.24	0.87	0.4	7.71	0.77	1.29	0.64	0.28
chr4	8593000	8594000	0.38	0.0	0.92	0.47	6.11	0.66	1.0	1.02	0.58
chr4	8594000	8595000	0.1	0.06	0.63	0.05	2.06	0.22	0.46	1.01	1.02
chr4	8595000	8596000	0.12	0.06	0.71	0.58	7.6	0.22	1.6	1.07	0.96
chr4	8596000	8597000	0.06	0.06	0.8	0.07	9.02	0.1	1.38	1.52	0.87
chr4	8597000	8598000	0.0	0.06	1.15	0.3	3.91	0.0	1.68	1.04	0.85
chr4	8598000	8599000	0.12	0.18	1.0	0.59	4.42	0.41	1.82	1.74	1.05
chr4	8599000	8600000	0.17	0.18	0.73	0.59	3.08	0.32	0.76	0.71	0.6
chr4	8600000	8601000	0.42	0.36	0.94	0.44	4.41	0.46	1.05	0.63	0.46
chr4	8601000	8602000	0.54	0.1	0.81	0.8	3.22	0.0	0.47	1.84	0.8
chr4	8602000	8603000	0.24	0.35	1.47	1.53	2.68	0.0	0.49	1.05	1.12
chr4	8603000	8604000	1.07	1.11	15.3	2.51	5.47	0.57	0.5	1.46	1.17
chr4	8604000	8605000	1.91	2.46	28.15	2.69	14.79	1.3	0.81	0.87	0.69
chr4	8605000	8606000	5.91	5.87	30.09	8.67	12.73	2.06	0.9	0.58	0.75
chr4	8606000	8607000	5.64	3.12	44.03	12.1	39.98	4.08	3.88	1.69	0.72
chr4	8607000	8608000	3.83	2.82	56.97	21.7	59.34	2.28	5.64	2.18	1.62
chr4	8608000	8609000	8.63	4.74	51.12	18.26	43.86	2.47	5.49	1.86	0.69
chr4	8609000	8610000	13.98	8.91	44.96	17.53	56.71	3.38	5.58	2.47	1.56
chr4	8610000	8611000	12.52	10.65	51.47	27.4	56.75	3.59	5.87	2.88	2.17
chr4	8611000	8612000	11.19	9.32	44.92	19.36	58.67	2.19	4.98	3.69	1.86
chr4	8612000	8613000	11.58	8.63	27.51	13.72	17.88	0.81	2.53	2.51	1.47
chr4	8613000	8614000	10.48	7.05	19.06	11.94	16.83	0.65	1.77	1.31	1.24
chr4	8614000	8615000	5.38	3.18	14.14	11.24	12.17	0.51	1.17	3.22	2.0
chr4	8615000	8616000	4.66	4.2	8.69	9.34	6.96	0.64	1.32	4.39	2.59
chr4	8616000	8617000	4.61	2.39	11.67	3.86	21.72	2.26	4.09	2.58	1.6
chr4	8617000	8618000	4.54	3.27	12.11	3.35	24.08	0.94	3.52	2.43	1.82
chr4	8618000	8619000	3.5	3.7	12.9	4.39	24.61	1.87	3.43	2.7	1.09
chr4	8619000	8620000	2.58	1.51	11.98	5.03	26.34	1.34	4.65	2.42	1.1
chr4	8620000	8621000	1.36	0.62	3.11	1.08	6.03	0.65	1.34	0.47	0.38
chr4	8621000	8622000	0.12	0.0	0.6	0.35	0.0	0.0	0.0	0.0	0.0
chr4	8622000	8623000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	8623000	8624000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	8624000	8625000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	8625000	8626000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	8626000	8627000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	8627000	8628000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	8628000	8629000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	8629000	8630000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	8630000	8631000	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0
chr4	8631000	8632000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
chr4	8632000	8633000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	8633000	8634000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	8634000	8635000	0.0	0.05	0.0	0.0	0.0	0.0	0.05	0.0	0.0
chr4	8635000	8636000	0.0	0.01	0.06	0.0	0.1	0.0	0.01	0.0	0.0
chr4	8636000	8637000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	8637000	8638000	0.18	0.0	0.69	0.18	0.54	0.32	0.55	0.28	0.48
chr4	8638000	8639000	0.17	0.0	0.3	0.25	0.25	0.21	0.19	0.39	0.21
chr4	8639000	8640000	0.12	0.06	0.92	0.63	0.81	0.61	0.88	0.25	0.45
chr4	8640000	8641000	0.16	0.12	0.71	0.46	1.13	0.89	0.69	0.32	0.27
chr4	8641000	8642000	0.2	0.0	0.62	0.18	1.4	0.31	0.55	0.19	0.05
chr4	8642000	8643000	0.06	0.06	0.86	0.3	0.79	0.26	0.55	0.45	0.16
chr4	8643000	8644000	0.12	0.0	0.29	0.24	0.11	0.29	0.58	0.47	0.42
chr4	8644000	8645000	0.18	0.0	0.59	0.12	0.47	0.24	0.63	0.25	0.36
chr4	8645000	8646000	0.13	0.06	0.87	0.48	0.59	0.31	0.47	0.33	0.16
chr4	8646000	8647000	0.15	0.0	0.61	0.58	0.6	0.33	0.25	0.44	0.2
chr4	8647000	8648000	0.01	0.01	1.08	0.24	0.53	0.14	0.1	0.19	0.16
chr4	8648000	8649000	0.32	0.05	0.44	0.36	0.15	0.41	0.54	0.26	0.05
chr4	8649000	8650000	0.0	0.06	0.36	0.36	0.71	0.45	0.26	0.39	0.1
chr4	8650000	8651000	0.0	0.0	0.28	0.29	0.44	0.11	0.17	0.27	0.25
chr4	8651000	8652000	0.06	0.0	0.78	0.48	0.58	0.43	0.46	0.55	0.34
chr4	8652000	8653000	0.0	0.11	0.71	0.27	0.55	0.76	0.72	0.26	0.21
chr4	8653000	8654000	0.0	0.07	0.83	0.18	0.46	0.43	0.35	0.09	0.15
chr4	8654000	8655000	0.0	0.06	0.55	0.28	0.23	0.66	0.36	0.2	0.1
chr4	8655000	8656000	0.18	0.05	0.41	0.21	0.33	0.44	0.18	0.35	0.1
chr4	8656000	8657000	0.06	0.0	0.28	0.36	0.33	0.33	0.22	0.3	0.05
chr4	8657000	8658000	0.12	0.0	0.3	0.41	0.33	0.21	0.3	0.28	0.26
chr4	8658000	8659000	0.11	0.0	0.4	0.12	0.21	0.11	0.45	0.37	0.25
chr4	8659000	8660000	0.0	0.0	0.08	0.12	0.21	0.58	0.17	0.11	0.0
chr4	8660000	8661000	0.0	0.0	0.48	0.21	0.54	0.83	0.36	0.31	0.18
chr4	8661000	8662000	0.06	0.0	0.39	0.2	0.44	0.65	0.15	0.17	0.49
chr4	8662000	8663000	0.06	0.0	0.31	0.04	0.21	0.64	0.63	0.5	0.34
chr4	8663000	8663314	0.0	0.0	0.044585987261146494	0.2229299363057325	0.044585987261146494	0.39490445859872614	0.3503184713375796	0.0	0.1592356687898089
chr4	55497022	55498000	1.1288343558282208	0.6421267893660532	0.65439672801636	0.7239263803680982	0.5480572597137015	0.5419222903885481	0.2658486707566462	0.25357873210633947	0.2556237218813906
chr4	55498000	55499000	0.78	0.42	0.11	0.37	0.33	0.11	0.4	0.1	0.1
chr4	55499000	55500000	0.82	0.59	1.09	0.4	0.59	0.11	0.17	0.41	0.25
chr4	55500000	55501000	0.66	0.33	1.51	0.32	1.07	0.33	0.52	0.42	0.22
chr4	55501000	55502000	0.07	0.15	1.46	0.55	0.81	0.11	0.11	0.21	0.2
chr4	55502000	55503000	0.12	0.06	1.01	0.42	0.6	0.5	0.25	0.41	0.58
chr4	55503000	55504000	0.0	0.0	0.22	0.71	0.33	0.6	0.17	0.49	0.16
chr4	55504000	55505000	0.0	0.0	0.29	0.12	0.09	0.0	0.15	0.1	0.1
chr4	55505000	55506000	0.0	0.0	0.12	0.25	0.34	0.28	0.24	0.53	0.15
chr4	55506000	55507000	0.0	0.12	0.24	0.05	0.59	0.6	0.49	0.1	0.1
chr4	55507000	55508000	0.0	0.06	0.43	0.0	0.05	0.33	0.16	0.33	0.21
chr4	55508000	55509000	0.06	0.06	0.28	0.17	0.33	0.22	0.27	0.79	0.32
chr4	55509000	55510000	0.18	0.08	0.47	0.45	0.22	0.11	0.31	0.24	0.61
chr4	55510000	55511000	0.06	0.04	0.29	0.01	0.44	0.21	0.12	0.16	0.25
chr4	55511000	55512000	0.12	0.18	0.58	0.81	0.76	0.25	0.16	0.2	0.16
chr4	55512000	55513000	0.53	0.66	1.21	0.54	1.18	0.47	0.36	0.06	0.22
chr4	55513000	55514000	1.09	0.36	1.19	0.71	0.46	0.38	0.2	0.2	0.14
chr4	55514000	55515000	1.3	0.57	0.63	0.24	0.55	0.33	0.32	0.29	0.13
chr4	55515000	55516000	1.16	0.46	1.04	0.13	0.54	0.12	0.16	0.13	0.23
chr4	55516000	55517000	2.58	1.24	1.92	0.86	1.2	0.42	0.05	0.58	0.11
chr4	55517000	55518000	1.07	0.17	0.97	0.47	0.86	0.14	0.1	0.59	0.05
chr4	55518000	55519000	0.68	0.47	1.6	0.65	1.13	0.24	0.16	0.28	0.15
chr4	55519000	55520000	0.95	0.42	2.03	0.74	2.33	0.45	0.46	0.54	0.19
chr4	55520000	55521000	1.55	1.33	2.33	0.51	1.68	0.03	0.19	0.36	0.32
chr4	55521000	55522000	0.73	0.36	0.89	0.42	1.17	0.22	0.07	0.26	0.12
chr4	55522000	55523000	0.87	0.47	0.47	0.19	0.53	0.71	0.21	0.46	0.05
chr4	55523000	55524000	0.05	0.0	0.3	0.71	0.33	0.28	0.45	0.11	0.16
chr4	55524000	55525000	0.11	0.06	0.05	0.43	0.44	0.21	0.19	0.15	0.16
chr4	55525000	55526000	0.11	0.06	0.21	0.24	0.22	0.22	0.18	0.1	0.2
chr4	55526000	55527000	0.08	0.0	0.2	0.06	0.22	0.22	0.26	0.08	0.31
chr4	55527000	55528000	0.05	0.05	0.3	0.18	0.66	0.55	0.24	0.61	0.31
chr4	55528000	55529000	0.0	0.12	0.23	0.18	0.37	0.37	0.45	0.26	0.1
chr4	55529000	55530000	0.12	0.07	0.27	0.0	0.4	0.16	0.21	0.28	0.05
chr4	55530000	55531000	0.11	0.18	0.08	0.0	0.22	0.23	0.15	0.16	0.16
chr4	55531000	55532000	0.23	0.12	0.36	0.0	0.12	0.33	0.25	0.1	0.15
chr4	55532000	55533000	0.18	0.12	0.11	0.34	0.43	0.51	0.26	0.32	0.43
chr4	55533000	55534000	0.0	0.0	0.21	0.17	0.33	0.04	0.2	0.37	0.36
chr4	55534000	55535000	0.29	0.22	0.28	0.24	0.54	0.11	0.05	0.38	0.21
chr4	55535000	55536000	0.05	0.12	0.18	0.3	0.43	0.11	0.0	0.47	0.05
chr4	55536000	55537000	0.19	0.06	1.64	0.24	0.91	0.1	0.25	0.16	0.35
chr4	55537000	55538000	0.12	0.0	0.55	0.0	0.43	0.33	0.31	0.16	0.16
chr4	55538000	55539000	0.11	0.06	0.58	0.24	0.56	0.35	0.37	0.52	0.39
chr4	55539000	55540000	0.23	0.06	0.17	0.06	0.52	0.08	0.37	0.27	0.09
chr4	55540000	55541000	0.13	0.12	0.3	0.57	0.44	0.17	0.06	0.24	0.1
chr4	55541000	55542000	0.23	0.07	0.41	0.18	0.33	0.33	0.21	0.15	0.34
chr4	55542000	55543000	0.05	0.11	0.28	0.12	0.22	0.09	0.16	0.16	0.11
chr4	55543000	55544000	0.12	0.18	0.34	0.18	0.4	0.22	0.22	0.42	0.11
chr4	55544000	55545000	0.17	0.06	0.38	0.24	0.43	0.11	0.19	0.47	0.36
chr4	55545000	55546000	0.34	0.46	8.05	4.55	9.08	0.41	1.21	0.37	0.8
chr4	55546000	55547000	0.18	0.36	6.64	5.9	6.18	0.03	1.29	0.83	0.63
chr4	55547000	55548000	0.47	0.14	13.89	3.19	21.66	0.33	2.78	0.25	0.23
chr4	55548000	55549000	0.72	0.38	7.18	1.68	6.01	0.11	1.02	0.42	0.52
chr4	55549000	55550000	0.3	0.46	0.5	0.48	0.0	0.11	0.2	0.15	0.24
chr4	55550000	55551000	0.44	0.24	1.03	0.49	1.56	1.0	0.49	0.21	0.06
chr4	55551000	55552000	0.09	0.06	1.11	0.27	2.25	1.45	0.2	0.05	0.0
chr4	55552000	55553000	0.05	0.02	1.54	0.53	1.75	2.58	0.22	0.15	0.11
chr4	55553000	55554000	0.12	0.06	0.7	0.11	1.06	0.81	0.2	0.29	0.15
chr4	55554000	55555000	0.24	0.12	0.46	0.12	0.23	0.11	0.14	0.27	0.11
chr4	55555000	55556000	0.0	0.11	0.22	0.06	0.25	0.33	0.05	0.17	0.1
chr4	55556000	55557000	0.0	0.0	0.23	0.18	0.21	0.22	0.05	0.1	0.05
chr4	55557000	55558000	0.0	0.0	0.18	0.24	0.22	0.33	0.11	0.15	0.16
chr4	55558000	55559000	0.0	0.06	0.23	0.06	0.33	0.54	0.37	0.25	0.15
chr4	55559000	55560000	0.0	0.0	0.23	0.12	0.22	0.53	0.16	0.15	0.35
chr4	55560000	55561000	0.12	0.0	0.47	0.06	0.54	0.28	0.05	0.25	0.2
chr4	55561000	55562000	0.12	0.0	0.24	0.06	0.11	0.24	0.47	0.46	0.25
chr4	55562000	55563000	0.0	0.0	0.3	0.29	0.22	0.38	0.31	0.13	0.25
chr4	55563000	55564000	0.06	0.0	0.36	0.18	0.14	0.29	0.05	0.45	0.18
chr4	55564000	55565000	0.12	0.0	0.24	0.12	0.5	0.02	0.26	0.23	0.3
chr4	55565000	55566000	0.06	0.0	0.18	0.24	0.33	0.11	0.1	0.29	0.11
chr4	55566000	55567000	0.05	0.05	0.19	0.29	0.42	0.21	0.2	0.34	0.1
chr4	55567000	55568000	0.06	0.08	0.29	0.12	0.55	0.33	0.0	0.48	0.3
chr4	55568000	55569000	0.06	0.04	0.54	0.12	0.22	0.2	0.16	0.63	0.37
chr4	55569000	55570000	0.05	0.0	0.24	0.18	0.0	0.34	0.15	0.21	0.25
chr4	55570000	55571000	0.06	0.0	0.5	0.06	0.11	0.22	0.18	0.26	0.52
chr4	55571000	55572000	0.0	0.06	0.29	0.18	0.44	0.12	0.13	0.42	0.1
chr4	55572000	55573000	0.18	0.12	0.21	0.05	0.0	0.31	0.44	0.3	0.25
chr4	55573000	55574000	0.0	0.0	0.07	0.35	0.23	0.38	0.16	0.23	0.0
chr4	55574000	55575000	0.02	0.0	0.58	0.27	0.32	0.98	0.2	0.05	0.1
chr4	55575000	55576000	0.16	0.06	0.42	0.26	0.77	0.5	0.41	0.13	0.1
chr4	55576000	55577000	0.06	0.06	0.34	0.06	0.31	0.79	0.32	0.41	0.1
chr4	55577000	55578000	0.0	0.06	0.82	0.12	0.45	0.26	0.16	0.28	0.22
chr4	55578000	55579000	0.12	0.0	0.42	0.18	0.1	0.27	0.16	0.15	0.02
chr4	55579000	55580000	0.12	0.0	0.18	0.18	0.0	0.0	0.1	0.41	0.03
chr4	55580000	55581000	0.0	0.0	0.18	0.0	0.33	0.11	0.16	0.31	0.16
chr4	55581000	55582000	0.06	0.0	0.3	0.0	0.44	0.11	0.2	0.17	0.2
chr4	55582000	55583000	0.12	0.1	0.23	0.16	0.11	0.14	0.2	0.19	0.1
chr4	55583000	55584000	0.23	0.19	0.36	0.43	0.63	0.41	0.2	0.2	0.33
chr4	55584000	55585000	0.12	0.06	0.53	0.06	0.22	0.86	1.36	0.11	0.31
chr4	55585000	55586000	0.06	0.06	0.24	0.51	1.13	0.81	1.21	0.3	0.19
chr4	55586000	55587000	0.06	0.0	0.54	0.17	0.39	1.27	0.2	0.35	0.13
chr4	55587000	55588000	0.06	0.06	0.12	0.18	0.4	1.15	0.11	0.24	0.2
chr4	55588000	55589000	0.0	0.0	0.36	0.3	0.43	0.77	0.0	0.43	0.25
chr4	55589000	55590000	0.18	0.36	0.9	0.36	0.29	0.22	0.1	0.31	0.4
chr4	55590000	55591000	0.23	0.06	1.65	0.12	0.68	0.55	0.2	0.27	0.05
chr4	55591000	55592000	0.12	0.0	2.43	0.34	0.57	0.0	0.26	0.1	0.21
chr4	55592000	55593000	0.12	0.06	2.22	0.73	0.21	0.11	0.25	0.62	0.3
chr4	55593000	55594000	0.06	0.0	0.44	0.7	0.21	0.22	0.2	0.26	0.05
chr4	55594000	55595000	0.0	0.11	0.52	0.23	0.25	0.33	0.32	0.15	0.05
chr4	55595000	55596000	0.0	0.0	0.17	0.18	0.29	0.44	0.2	0.15	0.1
chr4	55596000	55597000	0.17	0.06	0.35	0.54	0.22	0.33	0.18	0.11	0.11
chr4	55597000	55597022	0.0	0.0	0.0	0.0	0.0	0.0	0.9090909090909091	0.0	0.09090909090909091
chr5	73449804	73450000	0.30612244897959184	0.30612244897959184	1.6428571428571428	1.7959183673469388	0.0	0.0	0.25510204081632654	0.25510204081632654	0.30612244897959184
chr5	73450000	73451000	0.23	0.3	1.32	1.81	0.77	0.32	0.25	0.15	0.25
chr5	73451000	73452000	0.47	0.12	0.71	0.76	0.0	0.0	0.06	0.15	0.15
chr5	73452000	73453000	0.05	0.17	0.42	0.11	0.11	0.11	0.46	0.51	0.42
chr5	73453000	73454000	0.12	0.25	0.7	0.72	0.1	0.21	0.21	0.25	0.1
chr5	73454000	73455000	0.11	0.13	0.32	0.3	0.22	0.0	0.36	0.2	0.2
chr5	73455000	73456000	0.22	0.04	0.29	0.3	0.16	0.33	0.05	0.18	0.35
chr5	73456000	73457000	0.06	0.17	0.12	0.12	0.17	0.28	0.06	0.12	0.04
chr5	73457000	73458000	0.0	0.0	0.3	0.36	0.28	0.04	0.15	0.1	0.1
chr5	73458000	73459000	0.11	0.05	0.3	0.36	0.7	0.22	0.35	0.17	0.11
chr5	73459000	73460000	0.11	0.0	0.54	0.24	0.22	0.77	0.26	0.21	0.26
chr5	73460000	73461000	0.06	0.0	0.59	0.48	0.82	0.44	0.2	0.4	0.44
chr5	73461000	73462000	0.0	0.0	0.6	0.29	0.6	0.44	0.25	0.11	0.0
chr5	73462000	73463000	0.0	0.0	0.3	0.3	0.43	0.22	0.26	0.18	0.15
